run_id,source_family,agent,mode,benchmark,role,primary_category,count,extractor_version,run_role_total_invocations,run_role_category_share
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|codex|openrouter__owl-alpha-377195ae|patch|2023-12-ethereumcreditguild|2026-05-15T15-59-41-GMT_run-group_codex-openrouter-v1_patch|2023-12-ethereumcreditguild_abb3ff6f-849e-43d7-bef4-2758d69bc8e4,evmbench_runs_download,codex,patch,2023-12-ethereumcreditguild,unknown,text_search,10,stable_schema,90,0.1111111111111111
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|codex|openrouter__owl-alpha-377195ae|patch|2024-05-olas.json|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/_task_results,evmbench_runs_download,codex,patch,2024-05-olas.json,unknown,other,1,stable_schema,1,1.0
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|codex|openrouter__owl-alpha-377195ae|patch|2024-05-olas|2026-05-15T16-53-17-GMT_run-group_codex-openrouter-v1_patch|2024-05-olas_2fc2e684-40cd-4557-80ed-9064462d2773,evmbench_runs_download,codex,patch,2024-05-olas,unknown,file_read_navigation,72,stable_schema,82,0.8780487804878049
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|codex|openrouter__owl-alpha-377195ae|patch|2024-05-olas|2026-05-15T16-53-17-GMT_run-group_codex-openrouter-v1_patch|2024-05-olas_2fc2e684-40cd-4557-80ed-9064462d2773,evmbench_runs_download,codex,patch,2024-05-olas,unknown,text_search,10,stable_schema,82,0.12195121951219512
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|codex|openrouter__owl-alpha-377195ae|patch|2024-07-basin.json|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/_task_results,evmbench_runs_download,codex,patch,2024-07-basin.json,unknown,other,1,stable_schema,1,1.0
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|opencode|openrouter__owl-alpha-377195ae|patch|2023-10-nextgen.json|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/_task_results,evmbench_runs_download,opencode,patch,2023-10-nextgen.json,unknown,other,1,stable_schema,1,1.0
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|opencode|openrouter__owl-alpha-377195ae|patch|2023-12-ethereumcreditguild.json|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/_task_results,evmbench_runs_download,opencode,patch,2023-12-ethereumcreditguild.json,unknown,other,1,stable_schema,1,1.0
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|opencode|openrouter__owl-alpha-377195ae|patch|2024-05-olas.json|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/_task_results,evmbench_runs_download,opencode,patch,2024-05-olas.json,unknown,other,1,stable_schema,1,1.0
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|opencode|openrouter__owl-alpha-377195ae|patch|2024-07-basin.json|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/_task_results,evmbench_runs_download,opencode,patch,2024-07-basin.json,unknown,other,1,stable_schema,1,1.0
evmbench_runs_download|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z|patch|openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z,evmbench_runs_download,unknown,patch,unknown,unknown,other,8,stable_schema,8,1.0
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,global-judge,file_read_navigation,15,stable_schema,22,0.6818181818181818
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,scout,file_read_navigation,16,stable_schema,16,1.0
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,global-judge,file_write_edit,6,stable_schema,22,0.2727272727272727
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,global-judge,text_search,1,stable_schema,22,0.045454545454545456
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/access-control,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,access-control/branch-01,file_read_navigation,19,stable_schema,19,1.0
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/access-control,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,access-control/judge,file_read_navigation,15,stable_schema,16,0.9375
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/access-control,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,access-control/judge,text_search,1,stable_schema,16,0.0625
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/accounting,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,accounting/branch-01,build_test,1,stable_schema,24,0.041666666666666664
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/accounting,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,accounting/branch-01,file_read_navigation,18,stable_schema,24,0.75
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/accounting,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,accounting/judge,file_read_navigation,15,stable_schema,15,1.0
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/accounting,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,accounting/branch-01,file_write_edit,2,stable_schema,24,0.08333333333333333
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/accounting,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,accounting/branch-01,text_search,3,stable_schema,24,0.125
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/cross-contract,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,cross-contract/branch-01,file_read_navigation,22,stable_schema,25,0.88
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/cross-contract,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,cross-contract/judge,file_read_navigation,16,stable_schema,16,1.0
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/cross-contract,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,cross-contract/branch-01,file_write_edit,1,stable_schema,25,0.04
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/cross-contract,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,cross-contract/branch-01,text_search,2,stable_schema,25,0.08
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/token-flow,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,token-flow/branch-01,build_test,1,stable_schema,23,0.043478260869565216
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/token-flow,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,token-flow/branch-01,file_read_navigation,15,stable_schema,23,0.6521739130434783
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/token-flow,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,token-flow/judge,file_read_navigation,19,stable_schema,21,0.9047619047619048
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/token-flow,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,token-flow/branch-01,file_write_edit,4,stable_schema,23,0.17391304347826086
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/token-flow,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,token-flow/judge,file_write_edit,1,stable_schema,21,0.047619047619047616
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/token-flow,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,token-flow/branch-01,text_search,3,stable_schema,23,0.13043478260869565
evmbench_runs_download|phase6/vllm-4trees-2026-05-04-one-shot|mini-swe-agent-forest|phase6/vllm-4trees-2026-05-04-one-shot/modal-forest-qwen-vllm-4trees-debug/2024-01-canto/modal/logs/forest/token-flow,evmbench_runs_download,mini-swe-agent-forest,unknown,unknown,token-flow/judge,text_search,1,stable_schema,21,0.047619047619047616
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,unknown,detect,2024-01-canto,unknown,runtime_script,1,stable_schema,1,1.0
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,access-control/branch-01,file_read_navigation,21,stable_schema,33,0.6363636363636364
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,access-control/judge,file_read_navigation,12,stable_schema,16,0.75
evmbench_runs_download|phase6/vllm-4trees-2026-05-04|mini-swe-agent-forest|detect|2024-01-canto|2026-05-04T11-57-08-GMT_run-group_mini-swe-agent-modal-forest-qwen-vllm-4trees-debug_detect|2024-01-canto_7ef412bc-6664-4947-bf20-7dc97b0b14b3,evmbench_runs_download,mini-swe-agent-forest,detect,2024-01-canto,accounting/branch-01,file_read_navigation,14,stable_schema,15,0.9333333333333333
