audit_id,count
2024-01-canto,592
2025-05-blackhole,184
2025-06-panoptic,167
2023-12-ethereumcreditguild,94
2024-05-olas,86
2026-05-04-ghcr,41
2024-03-gitcoin,27
2025-02-thorwallet,21
2024-05-loop,20
2023-10-nextgen,7
2024-07-basin,4
2026-05-04,1
